ID 	Type	Author/editor	Title	Subtitle	Description	VolumeDetails	EditorTranslator	Periodical	VolNo	No.ofVols	PlaceOfPublication	Publisher	Date(year)	Date(month)	Date(full)	PageRange	CrossRef	Index?
ref87	"Book:monograph"	"H. H. Henson "  "Notes of my ministry"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref88	"Book:monograph"	""  "The autobiography of Mark Rutherford"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref89	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref90	"Periodical:journal:article"	"H. H. Henson"  "Religious education"  ""  ""  ""  "St. Margaret's Westminster Parish Magazine"  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref91	"Periodical:journal:article"	"F. C. Burkitt"  "Who spoke the Magnificat?"  ""  ""  ""  "Journal of Theological Studies"  "7.26"  ""  ""  ""  ""  ""  ""  "220-7"  ""  
ref92	"Other:Poem"	"George Herbert"  "Good Friday'"  ""  "<i>The temple: sacred poems and private ejaculations</i>"  ""  ""  ""  ""  "Cambridge"  ""  ""  ""  ""  ""  ""  
ref93	"Other:Letter:letter"	"H. H. Henson"  "The education bill"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "10"  ""  
ref94	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref95	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref96	"Book:monograph"	"Herbert Paul"  "The life of Froude"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref97	"Book:monograph"	"A. W. Ward, G. W. Prothero and Stanley Leathes, eds."  "The Cambridge modern history, vol. III"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref98	"Book:edited collection"	"George Herbert Palmer, ed."  "The English works of George Herbert "  ""  ""  ""  ""  ""  "3 vols"  "Boston and New York"  ""  ""  ""  ""  ""  ""  
ref99	"Book:monograph"	"David. W. Forrest"  "The authority of Christ"  ""  ""  ""  ""  ""  ""  "Edinburgh"  ""  ""  ""  ""  ""  ""  
ref100	"Book:monograph"	"A. M. F. Darmesteter"  "The Life of Ernest Renan"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref14	"Periodical:news:article"	""  "The religious world"  ""  ""  ""  "Daily News"  ""  ""  ""  ""  ""  ""  ""  "5"  ""  
ref101	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref102	"Book:monograph"	""  "An Evangelical Free Church catechism for use in home and school"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref103	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref104	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref105	"Periodical:journal:article"	"H. H. Henson"  "Report of the royal commission on ecclesiastical discipline"  ""  ""  ""  "Contemporary Review"  "90"  ""  ""  ""  ""  ""  ""  "241-57"  ""  
ref106	"Book:edited collection"	"Brooke Foss Westcott"  "Common prayers for family use"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref108	"Other:Letter:letter"	"H. H. Henson"  "The church and the law"  ""  ""  ""  "Westminster Gazette"  ""  ""  ""  ""  ""  ""  ""  "1"  ""  
ref107	"Other:Letter:letter"	"H. H. Henson"  "The shadow of the curse"  ""  ""  ""  "Daily Telegraph"  ""  ""  ""  ""  ""  ""  ""  "6"  ""  
ref109	"Periodical:news:article"	""  "Canon Hensley Henson: a liberal churchman on Mr. Campbell's views"  ""  ""  ""  "Daily Chronicle"  ""  ""  ""  ""  ""  ""  ""  "6"  ""  
ref110	"Periodical:news:article"	""  "The bishop of Birmingham and Canon Henson: court of arches prosecution dropped"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "9"  ""  
ref111	"Periodical:news:article"	""  "Notes of the day"  ""  ""  ""  "Westminster Gazette"  ""  ""  ""  ""  ""  ""  ""  "2"  ""  
ref113	"Periodical:journal:article"	"H. H. Henson"  "Report of the royal commission on ecclesiastical discipline, II"  ""  ""  ""  "Contemporary Review"  "90"  ""  ""  ""  ""  ""  ""  "408-25"  ""  
ref112	"Other:Letter:letter"	"H. H. Henson"  "The Representative Church Council"  ""  ""  ""  "Westminster Gazette"  ""  ""  ""  ""  ""  ""  ""  "3"  ""  
ref116	"Book:monograph"	"Lord Rosebery"  "Napoleon"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref114	"Periodical:news:article"	""  "Memorial services: Westminster Abbey"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "5"  ""  
ref115	"Periodical:news:article"	""  "Canon Henson's appeal"  ""  ""  ""  "Daily Mail"  ""  ""  ""  ""  ""  ""  ""  "4"  ""  
ref117	"Periodical:journal:article"	"H. H. Henson"  "The Bible"  ""  ""  ""  "Christian World Pulpit"  "CCCLX"  ""  ""  ""  ""  ""  ""  "385-88"  ""  
ref118	"Book:monograph"	"Ellen Thorneycroft Fowler and Alfred Laurence Felkin"  "Kate of Kate Hall"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref119	"Periodical:journal:article"	"H. H. Henson"  "Memorial sermon for Queen Victoria, preached in Westminster Abbey last Sunday afternoon"  ""  ""  ""  "Christian World Pulpit"  "CCCLX"  ""  ""  ""  ""  ""  ""  "73-5"  ""  
ref120	"Periodical:journal:article"	"H. H. Henson"  "Christ's new commandment"  ""  ""  ""  "Christian World Pulpit"  "CCCLX"  ""  ""  ""  ""  ""  ""  "305-7"  "ref.8"  
ref122	"Periodical:journal:article"	"H. H. Henson"  "Christ's mission for the church"  ""  ""  ""  "Christian World Pulpit"  "CCCLX"  ""  ""  ""  ""  ""  ""  "328-30"  "ref.8"  
ref121	"Periodical:journal:article"	"H. H. Henson"  "Christ's new commandment and the sects"  ""  ""  ""  "Church Family Newspaper"  ""  ""  ""  ""  ""  ""  ""  "677"  ""  
ref123	"Periodical:journal:article"	"H. H. Henson"  "Proselytising"  ""  ""  ""  "Christian World Pulpit"  "CCCLX"  ""  ""  ""  ""  ""  ""  "337-39"  ""  
ref124	"Book:monograph"	"Walter Scott"  "Scott's Marmion: a tale of Flodden field, in six cantos"  ""  ""  "Michael Macmillan, ed."  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref125	"Book:monograph"	"Francis Marion Crawford"  "Via crucis"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref126	"Book:monograph"	"Alfred William Benn"  "The history of English rationalism in the nineteenth century"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref127	"Book:monograph"	"Henry Barclay Swete"  "The apocalypse of St John"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref128	"Book:monograph"	"Brooke Foss Westcott"  "Saint Paul's epistle to the Ephesians"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref129	"Book:monograph"	"John Emerich Edward, 1st baron Acton"  "Lectures on modern history"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref130	"Book:monograph"	"John Knox"  "The history of the reformation of religion in Scotland, with which are included Knox's confession and the book of discipline <span class="no-italic">[1559-66]</span>"  ""  ""  "Cuthbert Lennox, ed."  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref131	"Book:monograph"	"John Evans"  "A sketch of the denominations of the Christian world, with a persuasive to religious moderation"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref134	"Book:monograph"	"Edmund Calamy"  "The nonconformist's memorial"  ""  ""  "Samuel Palmer, abrid."  ""  ""  "3 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref132	"Book:monograph"	"Benvenuto Cellini"  "The life of Benvenuto Cellini <span class="no-italic">[1562]</span>"  ""  ""  "John Addington Symonds, trans."  ""  ""  "2 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref133	"Book:monograph"	"Richard Baxter"  "The saints' everlasting rest"  ""  ""  "Benjamin Fawcett, abrid."  ""  ""  ""  "New York"  ""  ""  ""  ""  ""  ""  
ref135	"Book:monograph"	"J. G. Frazer"  "Adonis, Attis, Osiris"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref136	"Book:monograph"	"John Emerich Edward, 1st baron Acton"  "Lord Acton and his circle"  ""  ""  "Francis Aidan Gasquet, ed."  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref137	"Book:monograph"	"William Fairley"  "Epitaphiana, or, the curiosities of churchyard literature"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
